file_id	year	language	title	given_name	surname
10.2307_101831.xml	1686 	eng 	Front Matter 		
10.2307_101832.xml	1686 	eng 	Advertisement 		
10.2307_101833.xml	1686 	eng 	A Discourse Concernimg Gravity, and Its Properties, Wherein the Descent of Heavy Bodies, and the Motion of Projects is briefly, but Fully Handled: Together with the Solution of a Problem of Great Use in Gunnery. By E. Halley 	E. 	Halley 
10.2307_101834.xml	1686 	eng 	An Account of an Experiment Shewn before the Royal Society, of Shooting by the Rarefaction of the Air: By Dr. D. Papin, R. S S. 	D. 	Papin 
10.2307_101835.xml	1686 	lat 	Part of a Letter from Dr. Salomon Reisel, Chief Physician to the Duke of Wirtemburg, About An Extraordinary Tincture Given To a Stone: Stutgardiae, Febr. 120. 1686 	Salomon 	Reisel 
10.2307_101836.xml	1686 	lat 	A Catalogue of Simple and Mixt Colours, with a Specimen of Each Colour Prefixt to Its Proper Name: By R. Waller, Fellow of the Royal Society 	R. 	Waller 
10.2307_101837.xml	1686 	eng 	Accounts Of Books 	Richard Gulielmi 	Cumberland Cooper 
10.2307_101838.xml	1686 	eng 	The Preface 		
10.2307_101839.xml	1686 	eng 	A Voyage of the Emperor of China into the Eastern Tartary, Anno. 1682 		
10.2307_101840.xml	1686 	eng 	A Voyage of the Emperor of China, into the Western Tartary, in the Year, 1683 		
10.2307_101841.xml	1686 	eng 	An Explanation, Necessary to Justify the Geography Supposed in These Letters 		
10.2307_101842.xml	1686 	eng 	Some Observations, and Conjectures concerning the Chinese Characters. Made by R. H. R. S. S. 		
10.2307_101843.xml	1686 	eng 	An Account of An Engine That Consumes Smoak, Shown Lately At St. Germans Fair in Paris Communicated by Mr. Justell R. S. S. 		
10.2307_101844.xml	1686 	eng 	An Extract of the Journal Des Scavans. of April 22 st. N. 1686. Giving an Account of Two New Satellites of Saturn, Discovered Lately by Mr. Cassini at the Royal Observatory at Paris 		
10.2307_101845.xml	1686 	eng 	Two Astronomical Observations of the Eclipses of the Planet Jupiter, by the Moon in March and April Last, Made at London 		
10.2307_101846.xml	1686 	eng 	A Discourse on This Problem; Why Bodies Dissolved in Menstrua Specifically Lighter Than Themselves Swim Therein By Mr. William Molyneux, of Dublin. Member of the Royal Society 	William 	Molyneux 
10.2307_101847.xml	1686 	lat 	A Letter of Dr. Sigismond Konig, Physician of Bern in Switzerland, to the Royal Society, Being A Continuation of the History of His Patient Margaret Lower; An Account Whereof is Given in the Third Philosophical Collection, of December 10th. 1681 	Sigismond 	Konig 
10.2307_101848.xml	1686 	eng 	A Discourse of the Rule of the Decrease of the Height of the Mercury in the Barometer, According as Places are Elevated Above the Surface of the Earth, with an Attempt to Discover the True Reason of the Rising and Falling of the Mercury, upon Change of of Weather 		
10.2307_101849.xml	1686 	eng 	An Account of Two Books 	R. 	Boyle 
10.2307_101850.xml	1686 	eng 	An Essay towards An Universal Alphabet 	Francis 	Lodwick 
10.2307_101851.xml	1686 	eng 	Some Further Remarks on the Instrument Proposed By An Anonymous French Author, For Effecting a Perpetual Motion, An Account Whereof is Given in No. 177 of These Transactions, by Dr. Papin. M. D: R. S. S. 		
10.2307_101852.xml	1686 	eng 	A Short Examen of the Stones Sent the R. Society from Berne, Whereof An Accountis Given in the Last Transaction: By Frederick Slare M. D. R. S. Soc. 	Frederick 	Slare 
10.2307_101853.xml	1686 	eng 	Two Observations of the Last Eclipse November 30th Last, Made At Nuremberg; The One By Mr. G. C. Eimmart, the Other By Mr. J. Ph. Wurtzelbaur: Communicated by Mr. Theodore Haak R. S. S. 	G. C. Theodore 	Eimmart Haak 
10.2307_101854.xml	1686 	eng 	An Extract of A Letter Written from Aramont in Languedoc Near Avignon, Giving An Account of An Extraordinary Swarm of Grashoppers in Those Parts; Communicated By Mr. Justell R. S. S. 		
10.2307_101855.xml	1686 	eng 	Erratum 		
10.2307_101856.xml	1686 	eng 	An Extract of Two Essays in Political Arithmetick concerning the Comparative Magnitudes, etc. of London and Paris by Sr. William Petty Knight. R. S. S. 	William Petty 	Knight 
10.2307_101857.xml	1686 	eng 	An Historical Account of the Trade Winds, and Monsoons, Observable in the Seas between and Near the Tropicks, with an Attempt to Assign the Phisical Cause of the Said Winds, By E. Halley 	E. 	Halley 
10.2307_101858.xml	1686 	eng 	A Dioptrick Problem, Why Four Conuex-Glasses In A Telescope, Shew Objects Erect. by William Molineux of Dublin Esq. R. S. Soc. 	William 	Molineux 
10.2307_101859.xml	1686 	eng 	An Uncommon Inscription Lately Found on a Very Great Basis of A Pillar, Dug Up At Rome; With An Interpretation of the Same By the Learned Dr. Vossius. 		
10.2307_101860.xml	1686 	eng 	Several Observations of the Eclipse of Jupiter by the Moon on March the 31th. 1686. St.Vet. Where-Of Some Account Has Already been Given in Transaction No. 181 		
10.2307_101861.xml	1686 	lat 	Occultatio Jouis Anno 1686, Die 10 April. St. N. Vesperi, Observata Gedani a Joh. Hevelio 	Joh 	Hevelio 
10.2307_101862.xml	1686 	lat 	An Account of a Book 	J. Johanne 	Craige Craige 
10.2307_101863.xml	1686 	eng 	An Account of the Course of the Tides in the Port of Dublin in Ireland, Communicated in a Letter to the Publisher, from William Molineux Esq. R. S. S. with a Remark Thereupon 	William 	Molineux 
10.2307_101864.xml	1686 	eng 	A Demonstration of the Velocity Wherewith the Air Rushes into an Exhausted Receiver, Lately Produced before the R. Society By Dr. D. Papin. Reg. Soc. S. 	D. 	Papin 
10.2307_101865.xml	1686 	eng 	An Extract of a Letter from Mr. J. Flamsteed Astr. Reg. and Reg. Soc. S. Giving His Calculation of the Eclipses of Jupiters Satellites for the Year 1687. Together with a Table of the Parallaxes of the Orb, and the Ephemeris of Jupiters Geocentric Place for the Same Year; To which is Added An Observation of the Eclipse of the Moon Novemb. 30, 1695. Made at Lisbon, and Mr. Flamsteed's Own Observation of the Eclipse of Jupiter by the Moon on March 31th. Past 	J. 	Flamsteed 
10.2307_101866.xml	1686 	eng 	Accounts of Books 	Robert Will 	Plott Molineux 
10.2307_101867.xml	1686 	eng 	A Table Shewing the Time of High Water on the Coasts, and in the Ports of France, upon the Day of the New and Full Moon. Taken from the French Ephemerides called La Connoissance Des Temps for the Year 1687 		
10.2307_101868.xml	1686 	eng 	The Verbal Process upon the Discovery of an Antient Sepulchre, in the Village of Cocherel upon the River Eure in France 		
10.2307_101869.xml	1686 	eng 	An Extract of a Letter Written from Rome, Dated the 16th. of November Last, to Signior Sarotti, concerning a Discovery Made upon the Inundation of the Tevere. Translated out of the Italian 		
10.2307_101870.xml	1686 	eng 	A Relation of a Petrified Glandula Pinealis, Lately Found in the Dissection of a Brain: Communicated by Sr. Edmond King Knt. M. D. and Reg. Soc. S. 	Edmond 	King 
10.2307_101871.xml	1686 	eng 	A Correct Tide-Table, Shewing the True Times of the High-Waters at London-Bridge to Every Day in the Year 1687. By J. Flamsteed Math. R. & R. S. S. 	J. 	Flamsteed 
10.2307_101872.xml	1686 	lat 	Eclipsis Lunae Observata Dublinii, Novembris 19 no. 1686. a Dno. Gulielmo Molineux Reg. Soc. S. et Ab Eodem Regiae Societati Communicata 	Gulielmo 	Molineux 
10.2307_101873.xml	1686 	eng 	A Further Assertion of the Propositions concerning the Magnitude, &c. of London, Contained in Two Essays in Political Arithmetic; Mentioned in Philos. Transact. Numb. 183; Together with a Vindication of the Said Essays from the Objections of Some Learned Persons of the French Nation, By Sr. W. Petty Knt. R.S.S. 	W. Petty 	Knt. 
10.2307_101874.xml	1686 	eng 	A Description of An Invention, Whereby the Divisions of the Barometer May be Enlarged in Any Given Proportions; Produced before the Royall Society By Mr. Robert Hook R. S. Soc. and Profess. Geom. Gresham 	Robert 	Hook 
10.2307_101875.xml	1686 	eng 	Accounts of Books 	Mallement D. Voiage 	de Messange Cluverius de Siam 
10.2307_101876.xml	1686 	eng 	An Account of a Comet Seen at Lipsick, Sept. 1686. Taken from the Lipsick Acta Eruditorum for the Month of November Last 		
10.2307_101877.xml	1686 	eng 	Part of a Letter Written in Latin to Thomas Gale, S. T. D. Sccret. Reg. Soc. from Carniola, By Mr. John Weichard Valvasor Liber Baro; Containing the Method of Casting Statues in Metal; Together with An Invention of His for Making Such Cast Statues of An Extraordinary Thinness, beyond Any Thing Hitherto Known or Practised 	John 	Weichard 
10.2307_101878.xml	1686 	eng 	The Answer of Dr. Papin to Several Objections Made by Mr. Nuis against His Engine for Raising Water by the Rarefaction of the Air, Whereof a Description is Given in No. 178. of These Transactions 		
10.2307_101879.xml	1686 	eng 	An Answer of the Same to the Author of the Perpetual Motion 		
10.2307_101880.xml	1686 	lat 	Occultatio Saturni a Luna Plena, Anno 1687. Martii 19no. Mane: Observata a Dno Ed. Haines R. S. S. ad Totteridg Prope Londinum, Sub Latitudine 51.39 		
10.2307_101881.xml	1686 	eng 	A Discourse concerning the Measure of the Airs Resistance to Bodies Moved in It. By the Learned John Wallis S. T. D. et R. S. Soc. 	John 	Wallis 
10.2307_101882.xml	1686 	eng 	Part of a Letter from Mr. William Cole of Bristol to the Publisher, about the Grains Resembling Wheat Which Fell Lately in Wilt-Shire 	William 	Cole 
10.2307_101883.xml	1686 	fre 	An Extract of a Letter Written by Mr. Veay Physician at Tholouse to Mr. de St. Ussans, concerning a Very Extraordinary Hermaphrodite in That City. Communicated by Dr. Aglionby. Reg. Soc. S. 		
10.2307_101884.xml	1686 	eng 	Accounts of Books 	Joanne 	Rajo 
10.2307_101885.xml	1686 	eng 	Advertisement 		
10.2307_101886.xml	1686 	eng 	A Receipt to Cure Mad Dogs, or Men or Beasts Bitten by Mad Dogs: Communicated to the Royal Society, by Sir Rob. Gourdon. By His Majesties Command 		
10.2307_101887.xml	1686 	fre 	A Letter of Monsieur Cassini to the Publisher, Giving His Corrections of the Theory of the Five Satellites of Saturn; With Tables of the Motions of Those Satellites, Adapted to the Meridian of London, and the Julian Account 	Monsieur 	Cassini 
10.2307_101888.xml	1686 	eng 	An Account of Several Curious Observations and Experiments, concerning the Growth of Trees; Made by Thomas Brotherton, of Hey, in the County of Lancaster, Esq; Brought in and Read before the R. S. by R. H. Fellow of the Said Society 		
10.2307_101889.xml	1686 	eng 	Concerning the Apparent Magnitude of the Sun and Moon, or the Apparent Distance of Two Stars, when Nigh the Horizon, and When Higher Elevated 	William 	Molyneux 
10.2307_101890.xml	1686 	eng 	The Sentiments of the Reverend and Learned Dr. John Wallis, R. S. Soc. upon the Aforesaid Appearance, Communicated in a Letter to the Publisher 	John 	Wallis 
10.2307_101891.xml	1686 	eng 	Account of a Book 	D. 	Papin 
10.2307_101892.xml	1686 	eng 	Observations of what did Praeternaturally Occur in the Opening of the Body of Mr. Smith of Highgate, July 8th. 1687. Communicated by That Learned Physitian Dr. Edward Tyson Reg. Soc. Soc. 	Edward 	Tyson 
10.2307_101893.xml	1686 	eng 	A Relation of an Extraordinary Effect of the Power of Imagination: Communicated by Mr. Edward Smith, Secretary to the Philosophical Society at Dublin, as It was Brought before That Company, by Mr. St. George Ash. R. Soc. S. Who Had Seen the Thing 	Edward 	Smith 
10.2307_101894.xml	1686 	lat 	De Constructione Problematum Solidorum, Sive AEquationum Tertiae Vel Quartae Potestatis, Unica Data Parabola ac Circulo Efficienda; Dissertati-Uncula: Authore Edm. Halley 		
10.2307_101895.xml	1686 	eng 	A Letter of Mr. de la Hire of the Royal Academy of the Sciences at Paris, concerning a New Sort of Magnetical Compass, with Several Curious Magnetical Experiments 	De 	la Hire 
10.2307_101896.xml	1686 	eng 	A Relation of the Great Effects of a New Sort of Burning Speculum Lately Made in Germany: Taken from the Acta Eruditorum of the Month of January Last: Being a Letter from the Inuentor to the Authors of That Journal 		
10.2307_101897.xml	1686 	eng 	An Account of Some Saxon Coyns Found in Suffolk; Communicated by Sir P. S. R. S. Soc. 		
10.2307_101898.xml	1686 	eng 	An Estimate of the Quantity of Vapour Raised out of the Sea by the Warmth of the Sun; Derived from an Experiment Shown before the Royal Society, at One of Their Late Meetings: by E. Halley 	E. 	Halley 
10.2307_101899.xml	1686 	lat 	Observationes Nonnullae Eclipseos Nuperae Solaris, Maii 1. St. vet. Diversis in Locis Habitae, Ac Cum Regiâ Societate Communicatae 		
10.2307_101900.xml	1686 	eng 	Accounts Of Books 	Alexander Richard Confucius 	Pitsield Waller Sinarum 
10.2307_101901.xml	1686 	lat 	De Sestertio Dissertatiuncula ex Opusculis Posthumis Viri Celeberrimi D. D. Isaaci Barrow Nuper Editis Decerpta 	de 	Sestertio 
10.2307_101902.xml	1686 	lat 	De Numero Radicum in Aequationibus Solidis ac Biquadraticis, Sive Tertiae ac Quartae Potestatis, Earumq; Limitibus, Tractatulus Authore E. Halley 	E. 	Halley 
10.2307_101903.xml	1686 	eng 	An Account of Some Observations Lately Made at Nurenburg by Mr. P. Wurtzelbaur, Shewing That the Latitude of That Place Has Continued without Sensible Alteration for 200 Years Last Past; as Likewise the Obliquity of the Ecliptick; By Comparing Them with what Was Observed by Bernard Walther in the Year 1487, being a Discourse Read before the Royal Society in One of Our Late Meetings 	P. Bernard 	Wurtzelbaur Walther 
10.2307_101904.xml	1686 	eng 	An Account of the Diseases of Doggs, and Several Receipts for the Cure of their Madness, and of those Bitten by them. Extracted from the Papers of Sir Theodore Mayern, and Communicated to the Royal Society by Sir Theodore de Vaux, Knt. and R. Soc. S. 	Theodore Theodore 	Mayern de Vaux 
10.2307_101905.xml	1686 	eng 	An Extract of a Letter Written to the Royal Society out of Carniola, by Mr. John Weichard Valvafor, R. Soc. S. being a Full and Accurate Description of the Wonderful Lake of Zirknitz in That Country. Vide Phil. Tranfact. N. 54, et 109 	John 	Weichard 
